id,lon,lat,grid_id_50km,host_grid_id_50km,sector,tech,allocated_capacity_mw
r1556_c205,76.72682714860193,37.51370389630085,R31_C5,R32_C5,chem,pv,16.892467947671033
r1556_c206,76.7378843592431,37.51618865699788,R31_C5,R32_C5,chem,pv,16.890997302117118
r1556_c207,76.74894229063118,37.518672472454455,R31_C5,R32_C5,chem,pv,16.88952713932344
r1556_c214,76.82636797411968,37.53603270652016,R31_C5,R32_C5,chem,pv,16.879249527819912
r1556_c215,76.83743166413379,37.53850895688327,R31_C5,R32_C5,chem,pv,16.87778323172164
r1556_c216,76.84849607305604,37.54098426121376,R31_C5,R32_C5,chem,pv,16.876317419536836
r1556_c217,76.85956120068163,37.54345861942359,R31_C5,R32_C5,chem,pv,16.87485209139364
r1556_c218,76.87062704680567,37.54593203142482,R31_C5,R32_C5,chem,pv,16.873387247420176
r1556_c219,76.88169361122317,37.54840449712962,R31_C5,R32_C5,chem,pv,16.87192288774446
r1556_c220,76.89276089372902,37.55087601644999,R31_C5,R32_C5,chem,pv,16.87045901249467
r1556_c221,76.90382889411805,37.55334658929807,R31_C5,R32_C5,chem,pv,16.868995621798824
r1556_c222,76.91489761218497,37.55581621558596,R31_C5,R32_C5,chem,pv,17.049417392511774
r1556_c223,76.9259670477244,37.5582848952258,R31_C5,R32_C5,chem,pv,17.047956864351256
r1556_c224,76.93703720053084,37.56075262812967,R31_C5,R32_C5,chem,pv,17.046496817476285
r1556_c225,76.94810807039873,37.56321941420977,R31_C5,R32_C5,chem,pv,17.04503725201784
r1556_c226,76.95917965712238,37.56568525337823,R31_C5,R32_C5,chem,pv,17.04357816810677
r1556_c227,76.97025196049601,37.56815014554727,R31_C5,R32_C5,chem,pv,17.042119565873946
r1556_c228,76.98132498031374,37.57061409062907,R31_C5,R32_C5,chem,pv,34.081322890900495
r1556_c229,76.99239871636962,37.57307708853585,R31_C5,R32_C5,chem,pv,34.078407613933095
r1556_c230,77.00347316845757,37.57553913917977,R31_C5,R32_C5,chem,pv,34.075493301107414
r1556_c231,77.01454833637142,37.57800024247313,R31_C5,R32_C5,chem,pv,34.0725799526852
r1557_c205,76.73006353658135,37.50521421050754,R31_C5,R32_C5,chem,pv,16.897492125793086
r1557_c206,76.74111962133496,37.50769869336995,R31_C5,R32_C5,chem,pv,16.89602190676327
r1557_c207,76.75217642660157,37.51018223106317,R31_C5,R32_C5,chem,pv,16.89455217040835
r1557_c214,76.82959422069435,37.52754052278756,R31_C5,R32_C5,chem,pv,17.06614032711933
r1557_c215,76.84065678271742,37.5300164959599,R31_C5,R32_C5,chem,pv,16.882811671231256
r1557_c216,76.85172006341513,37.532491523171295,R31_C5,R32_C5,chem,pv,16.881346284712627
r1557_c217,76.86278406258272,37.53496560433384,R31_C5,R32_C5,chem,pv,16.87988138214934
r1557_c218,76.87384878001538,37.537438739359736,R31_C5,R32_C5,chem,pv,16.87841696366934
r1557_c219,76.88491421550813,37.53991092816104,R31_C5,R32_C5,chem,pv,16.87695302940069
r1557_c220,76.89598036885594,37.54238217064981,R31_C5,R32_C5,chem,pv,16.875489579471438
r1557_c221,76.90704723985367,37.54485246673829,R31_C5,R32_C5,chem,pv,17.055902848100175
r1557_c222,76.91811482829605,37.547321816338616,R31_C5,R32_C5,chem,pv,17.0544422737929
r1557_c223,76.92918313397779,37.54979021936294,R31_C5,R32_C5,chem,pv,17.05298218055199
r1557_c224,76.94025215669342,37.5522576757234,R31_C5,R32_C5,chem,pv,17.051522568508265
r1557_c225,76.95132189623739,37.55472418533228,R31_C5,R32_C5,chem,pv,17.050063437792463
r1557_c226,76.9623923524041,37.55718974810174,R31_C5,R32_C5,chem,pv,17.048604788535435
r1557_c227,76.9734635249878,37.559654363944055,R31_C5,R32_C5,chem,pv,34.09429324173588
r1557_c228,76.9845354137827,37.56211803277135,R31_C5,R32_C5,chem,pv,33.727598863224
r1557_c229,76.99560801858281,37.564580754496006,R31_C5,R32_C5,chem,pv,34.088463461649575
r1557_c230,77.00668133918215,37.56704252903019,R31_C5,R32_C5,chem,pv,34.08555001742132
r1557_c231,77.01775537537459,37.56950335628618,R31_C5,R32_C5,chem,pv,34.08263753741843
r1557_c232,77.0288301269539,37.57196323617634,R31_C5,R32_C5,chem,pv,34.0797260219023
r1558_c205,76.733299203844,37.49672444745052,R31_C5,R32_C5,chem,pv,16.902515454379124
r1558_c206,76.74435416291381,37.49920865259312,R31_C5,R32_C5,chem,pv,16.90104566161463
r1558_c207,76.75540984226281,37.501691912637895,R31_C5,R32_C5,chem,pv,16.899576351439674
r1558_c214,76.8328197483897,37.51904826282409,R31_C5,R32_C5,chem,pv,17.0711608393638
r1558_c215,76.84388118262636,37.521523958920206,R31_C5,R32_C5,chem,pv,16.887839258618577
r1558_c216,76.85494333530428,37.523998709127184,R31_C5,R32_C5,chem,pv,16.886374297507633
r1558_c217,76.86600620621877,37.52647251335707,R31_C5,R32_C5,chem,pv,16.884909820265797
r1558_c218,76.87706979516497,37.52894537152213,R31_C5,R32_C5,chem,pv,16.883445827020957
r1558_c219,76.88813410193804,37.53141728353442,R31_C5,R32_C5,chem,pv,16.88198231790104
r1558_c220,76.89919912633295,37.533888249306194,R31_C5,R32_C5,chem,pv,16.880519293033945
r1558_c221,76.9102648681446,37.53635826874958,R31_C5,R32_C5,chem,pv,17.06092640600473
r1558_c222,76.9213313271678,37.53882734177682,R31_C5,R32_C5,chem,pv,17.05946626643958
r1558_c223,76.93239850319726,37.541295468300106,R31_C5,R32_C5,chem,pv,17.058006607852466
r1558_c224,76.94346639602759,37.5437626482317,R31_C5,R32_C5,chem,pv,17.05654743037411
r1558_c225,76.95453500545331,37.54622888148374,R31_C5,R32_C5,chem,pv,17.055088734135232
r1558_c226,76.9656043312688,37.548694167968655,R31_C5,R32_C5,chem,pv,34.10726103853299
r1558_c227,76.97667437326842,37.55115850759853,R31_C5,R32_C5,chem,pv,33.74058337757521
r1558_c228,76.98774513124637,37.55362190028575,R31_C5,R32_C5,chem,pv,33.73766508509499
r1558_c229,76.99881660499676,37.55608434594259,R31_C5,R32_C5,chem,pv,33.734747763422284
r1558_c230,77.00988879431361,37.55854584448133,R31_C5,R32_C5,chem,pv,34.09560495221489
r1558_c231,77.02096169899089,37.56100639581432,R31_C5,R32_C5,chem,pv,34.092693340100126
r1558_c232,77.03203531882235,37.563465999853946,R31_C5,R32_C5,chem,pv,34.089782692293866
r1559_c206,76.74758798421344,37.49071853450454,R31_C5,R32_C5,chem,pv,16.90606856720302
r1559_c207,76.75864253784866,37.4932015170156,R31_C5,R32_C5,chem,pv,16.904599682949492
r1559_c210,76.79181051698899,37.500644793510496,R31_C5,R32_C5,chem,pv,16.90019592649276
r1559_c211,76.8028679487674,37.503123995036354,R31_C5,R32_C5,chem,pv,16.898728973534748
r1559_c212,76.81392609957145,37.50560225109623,R31_C5,R32_C5,chem,pv,17.079108040373004
r1559_c213,76.8249849691968,37.5080795616021,R31_C5,R32_C5,chem,pv,17.077644013155986
r1559_c214,76.83604455743918,37.5105559264663,R31_C5,R32_C5,chem,pv,17.07618046565274
r1559_c215,76.84710486409406,37.51303134560082,R31_C5,R32_C5,chem,pv,16.89286599441711
r1559_c216,76.8581658889569,37.51550581891789,R31_C5,R32_C5,chem,pv,16.89140145845561
r1559_c217,76.86922763182304,37.51797934632971,R31_C5,R32_C5,chem,pv,16.889937406276964
r1559_c218,76.88029009248771,37.52045192774845,R31_C5,R32_C5,chem,pv,16.888473838009045
r1559_c219,76.89135327074607,37.5229235630863,R31_C5,R32_C5,chem,pv,16.887010753779666
r1559_c220,76.90241716639318,37.52539425225544,R31_C5,R32_C5,chem,pv,16.885548153716673
r1559_c221,76.91348177922394,37.52786399516825,R31_C5,R32_C5,chem,pv,16.88408603794784
r1559_c222,76.92454710903326,37.53033279173687,R31_C5,R32_C5,chem,pv,16.882624406601007
r1559_c223,76.93561315561585,37.53280064187355,R31_C5,R32_C5,chem,pv,17.063030146805552
